﻿﻿title,song_name_fa,song_name_en,lyrics,post_name_url,post_type,category_fa,category_en,artist_name_fa,artist_name_en,link_mp3_128,link_mp3_320,thumbnail_photo,published_date
"سالار عقیلی هوای تو : دانلود آهنگ جدید سالار عقیلی به نام هوای تو","هوای تو","HavayeTo","پس از تو هر جا خواندم برای کوه و دریا خواندم
صدای تو شدم تا صدای من بمانی
برای تو بخوانم برای من بخوانی
♫♫♫
شبی که چلچراغ خانه را ترانه را به من سپردی
خزان گذشت و تو گذشتی و جوانه را به من سپردی
پس از تو قطره قطره ی دلم به چشم من رسید و خون شد
هوای تو دوباره از سرم به جان من زد و جنون شد
صدای تو شدم تا صدای من بمانی
برای تو بخوانم برای من بخوانی
♫♫♫
بیا که از دل من جدا شود جدایی
به سوی من بیاید هوای آشنایی
بزن که زخم هایت برای من بخواند
بخوان که با صدایت صدای من بماند
اگرچه بعد تو هوای خانه ی من و جهان گرفته
دوباره در دلم امید دیدن رخ تو جان گرفته
ترانه های تو بهانه ی تبسم گل بهاریست
صدای خسته ات پس از تو هم میان باغ خانه جاریست
صدای تو شدم تا صدای من بمانی
برای تو بخوانم برای من بخوانی","https://nicmusic.net/havaye-to-9/","New Music",,,"سالار عقیلی","Salar Aghili","http://dl.nicmusic.net/nicmusic/024/057/Salar%20Aghili%20-%20Havaye%20To%20%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/057/Salar%20Aghili%20-%20Havaye%20To.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Salar-Aghili-Havaye-To.jpg","29/6/1399"
"احمد سلو زیبای بی عاطفه : دانلود آهنگ جدید احمد سلو به نام زیبای بی عاطفه","زیبای بی عاطفه","Zibaye Bi Atefeh","تا چشماشو میبینه هی دست پاچه میشه
انگاری میزنه به سرش عاقل نمیشه
میدونی عاشق که میشی مثل یه توهم جلوی چشماته و دیوونه میشی
تو که میدونی هیچکی مثل من نمیتونست آرومت کنه میدونی هیچکی
لعنت به اون که الان ماهته لعنت به تو زیبای بی عاطفه
لعنت به اونی که تو بخاطرش منو یادت نمیاد
لعنت به اون که الان ماهته لعنت به تو زیبای بی عاطفه
لعنت به اونی که تو بخاطرش منو یادت نمیاد
گفتی نمیذاری کسی توی دلت جامو بگیره
لعنت به اون که بعد من میتونه دستاتو بگیره
رفتی نمیدونی هنوز قلبم نگران تو میشه
لعنت به هر کی بعد من عاشق چشمای تو میشه
♫♫♫
لعنت به اون که الان ماهته لعنت به تو زیبای بی عاطفه
لعنت به اونی که تو بخاطرش منو یادت نمیاد","https://nicmusic.net/zibaye-bi-atefeh/","New Music",,,"احمد سلو","Ahmad Solo","http://dl.nicmusic.net/nicmusic/024/057/Ahmad%20Solo%20-%20Zibaye%20Bi%20Atefeh%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/057/Ahmad%20Solo%20-%20Zibaye%20Bi%20Atefeh.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Ahmad-Solo-Zibaye-Bi-Atefeh.jpg","26/6/1399"
"علی لهراسبی چه شبایی : دانلود آهنگ جدید علی لهراسبی به نام چه شبایی","چه شبایی","Che Shabaie","چه شبایی با چه حالی قولتو دادم به قلبم
جای تو خالی چه روزایی جایی تنهایی نرفتم
بی خیالی کار هر روزمه عادت کرده قلبم
تو بخندی دلت خوش باشه من هیچی نمیخوام
دل ببندی به هر کی من که خوشبختیتو میخوام
من همینم گلم بد باشیم خوبیتو میخوام
عزیزم هنوزم پاره ی تن منی تو
من بمیرم نبینم رو به راه نیست زندگیتو
من که خستم نباشی زندگیم تمومه بی تو
♫♫♫
عاشق بشی کوری بد میشی مجبوری
عشق اما نه زوری نمیشه هیچ جوری
رفتی ولی عشقت پهلومه با اینکه بغضت تو گلومه
خوشبختی تو آرزومه
تو بخندی دلت خوش باشه من هیچی نمیخوام
دل ببندی به هر کی من که خوشبختیتو میخوام
من همینم گلم بد باشیم خوبیتو میخوام
عزیزم هنوزم پاره ی تن منی تو
من بمیرم نبینم رو به راه نیست زندگیتو
من که خستم نباشی زندگیم تمومه بی تو","https://nicmusic.net/che-shabaie/","New Music",,,"علی لهراسبی","Ali Lohrasbi","http://dl.nicmusic.net/nicmusic/024/057/Ali%20Lohrasbi%20-%20Che%20Shabaie%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/057/Ali%20Lohrasbi%20-%20Che%20Shabaie.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Ali-Lohrasbi-Che-Shabaie.jpg","26/6/1399"
"ایهام درد : دانلود آهنگ جدید ایهام به نام درد","درد","Dard","دلم میخواد یه چند وقتی تو این دنیا نباشم
تو دنیایی که من حتی نمیدونم کجاشم
چجوری رد بشم وقتی همه پلها شکسته
دارم حس میکنم رو من خدا چشماشو بسته
همش درد و همش درد همه جا یخ زده سرده
چقدر مردونگی کردم تو دنیایی که نامرده
همش درد و همش درد همه جا یخ زده سرده
چقدر مردونگی کردم تو دنیایی که نامرده
♫♫♫
وقتی شب هم نفسم شد تنهایی همه کسم شد
هوس پریدنم رفت وقتی دنیا نفسم شد
منم و ستاره هایی که یه عمره گوشه گیرن
دیگه دنیایی ندارم که بخوان ازم بگیرن
که بخوان ازم بگیرن
همش درد و همش درد همه جا یخ زده سرده
چقدر مردونگی کردم تو دنیایی که نامرده
همش درد و همش درد همه جا یخ زده سرده
چقدر مردونگی کردم تو دنیایی که نامرده","https://nicmusic.net/dard-4/","New Music",,,"ایهام","Ehaam","http:/dl.nicmusic.net/nicmusic/024/057/Ehaam%20-%20Dard%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/057/Ehaam%20-%20Dard.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Ehaam-Dard.jpg","25/6/1399"
"امین بانی دریغ : دانلود آهنگ جدید امین بانی به نام دریغ","دریغ","Darigh","ز دست رفت مرا بی تو روزگار دریغ
چه یک دریغ که هر دم هزار بار دریغ
به هر چه در نگرم بی تو صد هزار افسوس
به هر نفس که زنم بی تو صد هزار دریغ
دریغ دریغ
چو لاله ی رخ تو شد ز چشم من بی روح
ز خون چشم رخم شد چو لاله زار دریغ
دلی کز آب وصالت به جوی بود روان
بسوز آتش هجر تو زار زار دریغ
دریغ دریغ دریغ دریغ دریغ
♫♫♫
چو گل شکفته بودم پیش از این ز شادی وصل
به غم فرو شدم اکنون بنفشه وار دریغ
اگر جهان جفا پیشه را غفا بودی
مرا جدا نفکندی ز غم گسار دریغ
دریغ دریغ دریغ دریغ
دریغ دریغ دریغ دریغ","https://nicmusic.net/darigh/","New Music",,,"امین بانی","Amin Bani","http://dl.nicmusic.net/nicmusic/024/050/Amin%20Bani%20-%20Darigh%20128.mp3","http://dl.nicmusic.net/nicmusic/024/050/Amin%20Bani%20-%20Darigh.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Amin-Bani-Darigh-500x500.jpg","23/6/1399"
"مانی رهنما گله ای نیست : دانلود آهنگ جدید مانی رهنما به نام گله ای نیست","گله ای نیست","Geleie Nist","زندگیمو پای تو ریختم گفتم جای دوری نمیره
تا جایی که میشد هوای این عاشقی رو تازه دیدم
هر جا که رفتی با تو بودم اما به بی راهه رسیدم
کاش روزگار بی رحمیاتو هیچ وقت به من ثابت نمیکرد
کاشکی نگاه دلنشینت این همه حذابت نمیکرد
بین ما دیوار سکونه از بس رو حرفات نموندی
دنیا رو خاکستر گرفته بس که روبامو سوزوندی
لعنت به این همه علاقه که واسه تو بی اعتباره
لعنت به این قصه که دیگه نای جلو رفتن نداره
دیگه بهت چیزی نمیگم راحت برو این که زندگی نیست
دیگه از این دنیای بی رحم چیزی نمیخوام گلگی نیست
لعنت به این همه علاقه که واسه تو بی اعتباره
لعنت به این قصه که دیگه نای جلو رفتن نداره
دیگه بهت چیزی نمیگم راحت برو این که زندگی نیست
دیگه از این دنیای بی رحم چیزی نمیخوام گلگی نیست
♫♫♫
لعنت به این همه علاقه که واسه تو بی اعتباره
لعنت به این قصه که دیگه نای جلو رفتن نداره
دیگه بهت چیزی نمیگم راحت برو این که زندگی نیست
دیگه از این دنیای بی رحم چیزی نمیخوام گلگی نیست
لعنت به این همه علاقه که واسه تو بی اعتباره
لعنت به این قصه که دیگه نای جلو رفتن نداره
دیگه بهت چیزی نمیگم راحت برو این که زندگی نیست
دیگه از این دنیای بی رحم چیزی نمیخوام گلگی نیست","https://nicmusic.net/geleie-nist/","New Music",,,"مانی رهنما","Mani Rahnama","http://dl.nicmusic.net/nicmusic/024/050/Mani%20Rahnama%20-%20Geleie%20Nist%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/050/Mani%20Rahnama%20-%20Geleie%20Nist.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Mani-Rahnama-Geleie-Nist.jpg","23/6/1399"
"حسین توکلی سر مست : دانلود آهنگ جدید حسین توکلی به نام سر مست","سر مست","Sar Mast","دنیام با من ای داد ندارد سر سازگاری فریاد که از عشق ندارم قراری
ای عشق چرا با دلم میستیزی فریاد که از عاشقی میگریزی
ای عشق چرا با دلم میستیزی فریاد که از عاشقی میگریزی
سر مستم از جان دو چشمانت گیر افتاده دلم در دام چشمانت
میرقصم با ساز نگاه تو آسمان من شده صورت ماه تو
سر مستم از جان دو چشمانت گیر افتاده دلم در دام چشمانت
میرقصم با ساز نگاه تو آسمان من شده صورت ماه تو
♫♫♫
دل ندارم که برم شدی تو عشق آخرم آه از افسون نگاهت
حال خوب دل من حرفی از عشق بزن
مانده ام چشم به راهت مانده ام چشم به راهت
سر مستم از جان دو چشمانت گیر افتاده دلم در دام چشمانت
میرقصم با ساز نگاه تو آسمان من شده صورت ماه تو
سر مستم از جان دو چشمانت گیر افتاده دلم در دام چشمانت
میرقصم با ساز نگاه تو آسمان من شده صورت ماه تو","https://nicmusic.net/sar-mast/","New Music",,,"حسین توکلی","Hossein Tavakoli","http://dl.nicmusic.net/nicmusic/024/050/Hossein%20Tavakoli%20-%20Sar%20Mast%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/050/Hossein%20Tavakoli%20-%20Sar%20Mast.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Hossein-Tavakoli-Sar-Mast.jpg","23/6/1399"
"علی یاسینی چراغونی : دانلود آهنگ جدید علی یاسینی به نام چراغونی","چراغونی","Cheraghooni","گفته بودم بری زندگی نمیکنم یه روزم گفته بودم بعد تو میمیرمو زندم هنوزم
ولی یه زخمایی هست بد تر از مرگه بد شدی بد نبودم باهات یه دفعه که
تو کجایی ببین دنبال تو چجوری میگردم بودی شهر و چراغونی میکردم
من تو رو زندونی میکردم که نری فقط
تو کجایی ببین دنبال تو چجوری میگردم بودی شهر و چراغونی میکردم
من تو رو زندونی میکردم که نری فقط
♫♫♫
تو کجایی نمیدونی من حاظرم بمیرم برات تو قهر کنی من گل بگیرم برات
من هر کاری میکنم فقط شکل خنده بگیرن لبات
ولی تو گفتی برو تنهام بذار و گفتم گوش کن فقط همین یبارو
یه بغض داره میده گلومو فشارو تو وا کن از گردنم طناب دارو
تو کجایی ببین دنبال تو چجوری میگردم بودی شهر و چراغونی میکردم
من تو رو زندونی میکردم که نری فقط
تو کجایی ببین دنبال تو چجوری میگردم بودی شهر و چراغونی میکردم
من تو رو زندونی میکردم که نری فقط","https://nicmusic.net/cheraghooni/","New Music",,,"علی یاسینی","Ali Yasini","http://dl.nicmusic.net/nicmusic/024/050/Ali%20Yasini%20-%20Cheraghooni%5B128%5D.mp3","http://dl.nicmusic.net/nicmusic/024/050/Ali%20Yasini%20-%20Cheraghooni.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Ali-Yasini-Cheraghooni.jpg","22/6/1399"
"دانلود آهنگ جدید روزبه و به روز نعمت الهی به نام لحظه رفتن","لحظه رفتن","lahze raftan","اگه خسته شدی باشه برو یادمه حرفای تو رو
خسته نگم این گله هارو
نمیخواستی که من با تو بیام حق بده تا از تو بخوام
کم کن این فاصله ها رو
ببین حال منو گاهی فقط
کم نمیشه چیزی ازت بی تو ببین از همه خستم
منو تنها نذار سخته برام بی تو ببین میلرزه صدام
یعنی هنوز عاشقت هستم
♫♫♫
کی گذشته  رو از یاد تو برده
کی نفس مفس تو رو شمرده
خدا بگو چرا تموم نمیشه  غمای آدمای دل سپرده
برو گریه نکن حیفه چشات سهم منه خاطره هات
سخته برام لحظه ی رفتن
تو نگفتی بهم مسافری حالا که مجبوری بری گریه نکن به خاطر من
برو گریه نکن حیفه چشات سهم منه خاطره هات
سخته برام لحظه ی رفتن
تو نگفتی بهم مسافری حالا که مجبوری بری گریه نکن به خاطر من
♫♫♫
برو گریه نکن حیفه چشات سهم منه خاطره هات
سخته برام لحظه ی رفتن
تو نگفتی بهم مسافری حالا که مجبوری بری گریه نکن به خاطر من
برو گریه نکن حیفه چشات سهم منه خاطره هات
سخته برام لحظه ی رفتن
تو نگفتی بهم مسافری حالا که مجبوری بری گریه نکن به خاطر من","https://nicmusic.net/lahze-raftan/","New Music",,,"روزبه نعمت الهی","roozbeh nematollahi","http://dl.nicmusic.net/nicmusic/024/050/roozbeh%20nematollahi%20_%20lahze%20raftan%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/050/roozbeh%20nematollahi%20_%20lahze%20raftan.mp3","https://nicmusic.net/wp-content/uploads/2020/09/roozbeh-nematollahi-_-lahze-raftan.jpg","21/6/1399"
"مسعود صادقلو تله : دانلود آهنگ جدید مسعود صادقلو به نام تله","تله","Taleh","میدونستم که تو دریای چشات غرق میشم مرد میشم
به دلم افتاده بود یه روزی میری از پیشم
میدیدم اونجوری که من واسه تو وقت میذارم وقت نداری
یه چیزی ته دلم میگفت که دوسم نداری
با این حال دل به تلت دادم بی کلک و سادم قلبمو بهت دادم
تجربه خوبه درد داره اشتباهای یه آدم
دل به تلت دادم بی کلک و سادم قلبمو بهت دادم
تجربه خوبه درد داره اشتباهای یه آدم
♫♫♫
مطمئن بودم که در و تختمون با هم جور نمیشه
دو تا گل محاله با هم در بیان از یه ریشه
با این حال دل به تلت دادم بی کلک و سادم قلبمو بهت دادم
تجربه خوبه درد داره اشتباهای یه آدم
دل به تلت دادم بی کلک و سادم قلبمو بهت دادم
تجربه خوبه درد داره اشتباهای یه آدم","https://nicmusic.net/taleh/","New Music",,,"None","Masoud Sadeghloo","http://dl.nicmusic.net/nicmusic/024/050/Masoud%20Sadeghloo%20-%20Taleh%20%28128%29.mp3","http://dl.nicmusic.net/nicmusic/024/050/Masoud%20Sadeghloo%20-%20Taleh.mp3","https://nicmusic.net/wp-content/uploads/2020/09/Masoud-Sadeghloo-Taleh-500x500.jpg","19/6/1399"
